Model,ConnGroup,N,Pos,AP,PRAUC_trap,ROC,Brier,LogLoss,Note
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,17,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
MP_only,18,6744,2708,0.6583,0.6544,0.7556,0.1946,0.5757,
